Number,Player,ID_Position,School_Label,ID_Conference,ID_Race,ID_Class,Height,Height.Inches,Weight,ID_Eligibility,Formal_Stated_Major,Unknown_Undisclosed_Major,ID_Major_Type,CIPFamily,CIPFamilyTitle,CIPCode,CIPTitle,CIPDefinition,Hometown,City,ID_State.Provence.Country,Latitude,Longitude,High_School,Season,PlayerBio_URL
92,Tyler Stockton,NT,Notre Dame,IND,AA,GR,"6'1""",73,285,,Marketing,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.1401,"Marketing/Marketing Management, General.","A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers.  Includes instruction in buyer behavior and dynamics, principle of marketing research, demand analysis, cost-volume and profit relationships, pricing theory, marketing campaign and strategic planning, market segments, advertising methods, sales operations and management, consumer relations, retailing, and applications to specific products and markets.","Linwood, NJ",Linwood,NJ,39.3398382,-74.5751557,Hun School,2012-2013,http://www.und.com/sports/m-footbl/mtt/stockton_tyler01.html
13,Danny Spond,OLB,Notre Dame,IND,C,JR,"6'2""",74,248,,Political Science,FALSE,A,45,SOCIAL SCIENCES.,45.1001,"Political Science and Government, General.","A  general program that focuses on the systematic study of political institutions and behavior.  Includes instruction in political philosophy, political theory, comparative government and politics, political parties and interest groups, public opinion, political research methods, studies of the government and politics of specific countries, and studies of specific political institutions and processes.","Littleton, CO",Littleton,CO,39.613321,-105.0166498,Columbine High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/spond_danny00.html
52,Braxston Cave,OC,Notre Dame,IND,C,GR,"6'3""",75,304,,Psychology,FALSE,A,42,PSYCHOLOGY.,42.0101,"Psychology, General.","A general program that focuses on the scientific study of individual and collective behavior, the physical and environmental bases of behavior, and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology, research methods, and psychological assessment and testing methods.","Granger, IN",Granger,IN,41.7533819,-86.1108377,Penn High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/cave_braxston00.html
33,Cam McDaniel,RB,Notre Dame,IND,C,SO,"5'10""",70,195,,Psychology,FALSE,A,42,PSYCHOLOGY.,42.0101,"Psychology, General.","A general program that focuses on the scientific study of individual and collective behavior, the physical and environmental bases of behavior, and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology, research methods, and psychological assessment and testing methods.","Coppell, TX",Coppell,TX,32.9545687,-97.0150078,Coppell High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/mcdaniel_cam00.html
12,Andrew Hendrix,QB,Notre Dame,IND,C,JR,"6'2""",74,220,,Science Pre-professional Studies,FALSE,A,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",24.0199,"Liberal Arts and Sciences, General Studies and Humanities, Other.","Any single instructional program in liberal arts and sciences, general studies and humanities not listed above.","Cincinnati, OH",Cincinnati,OH,39.1031182,-84.5120196,Archbishop Moeller High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/hendrix_andrew00.html
60,Jordan Cowart,LS,Notre Dame,IND,C,SR,"6'2""",74,230,,Sociology,FALSE,A,45,SOCIAL SCIENCES.,45.1101,Sociology.,"A program that focuses on the systematic study of human social institutions and social relationships.  Includes instruction in social theory, sociological research methods, social organization and structure, social stratification and hierarchies, dynamics of social change, family structures, social deviance and control, and applications to the study of specific social groups, social institutions, and social problems.","Plantation, FL",Plantation,FL,26.1275862,-80.2331036,St. Thomas Aquinas,2012-2013,http://www.und.com/sports/m-footbl/mtt/cowart_jordan00.html
40,Nick Tausch,K,Notre Dame,IND,C,SR,"6'1""",73,201,,Sociology,FALSE,A,45,SOCIAL SCIENCES.,45.1101,Sociology.,"A program that focuses on the systematic study of human social institutions and social relationships.  Includes instruction in social theory, sociological research methods, social organization and structure, social stratification and hierarchies, dynamics of social change, family structures, social deviance and control, and applications to the study of specific social groups, social institutions, and social problems.","Plano, TX",Plano,TX,33.0198431,-96.6988856,Jesuit College Prep,2012-2013,http://www.und.com/sports/m-footbl/mtt/tausch_nick00.html
2,Bennett Jackson,CB,Notre Dame,IND,C,JR,"6'1""",73,185,,Undisclosed,TRUE,A,NA,NA,NA,NA,NA,"Hazlet, NJ",Hazlet,NJ,40.4155556,-74.1911111,Raritan High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/jackson_bennett00.html
49,Blake Breslau,S,Notre Dame,IND,C,GR,"5'10""",70,185,,Undisclosed,TRUE,A,NA,NA,NA,NA,NA,"San Diego, CA",San Diego,CA,32.7153292,-117.1572551,Francis Parker High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/breslau_blake00.html
24,Chris Salvi,S,Notre Dame,IND,C,SR,"5'10""",70,190,,Undisclosed,TRUE,A,NA,NA,NA,NA,NA,"Lake Forest, IL",Lake Forest,IL,40.754176,-88.393085,Carmel Catholic High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/salvi_chris00.html
71,Dennis Mahoney,OT,Notre Dame,IND,C,GR,"6'7""",79,294,,Undisclosed,TRUE,A,NA,NA,NA,NA,NA,"Baltimore, MD",Baltimore,MD,39.2903848,-76.6121893,The Boys' Latin School,2012-2013,http://www.und.com/sports/m-footbl/mtt/mahoney_dennis00.html
63,Grant Patton,DE,Notre Dame,IND,C,GR,"6'6""",78,256,,Undisclosed,TRUE,A,NA,NA,NA,NA,NA,"Louisville, KY",Louisville,KY,38.2526647,-85.7584557,St. Xavier,2012-2013,http://www.und.com/sports/m-footbl/mtt/patton_grant00.html
